Customer ID,Year,Quarter,Survey Date,Response Date,How likely are you to recommend insider to a friend or colleague ,How would you rate the value you gain from our company,How frequently are you using our platform,Please rate the overall quality of our products,Please rate the usability of the panel,Please rate your understanding of our reporting capabilities in the panel
CRM-1516050,2022,3,2022-07-01,2022-08-26,10,5,Once a Month,5,5,I need someone from Insider team to provide me the report from the panel
CRM-1516050,2022,3,2022-07-01,2022-09-27,10,5,Once a Month,5,5,I don't use it often
CRM-1470950,2022,1,2022-01-01,2022-03-25,4,3,Once a Day,2,3,I need someone from Insider team to provide me the report from the panel
CRM-1470950,2022,3,2022-07-01,2022-09-30,6,3,Once a Week,4,4,I tried but could not find everything I need
CRM-1470950,2022,2,2022-04-01,2022-06-23,10,5,Once a Day,4,3,I need someone from Insider team to provide me the report from the panel
CRM-1470950,2022,1,2022-01-01,2022-03-28,7,4,Once a Day,4,4,I need someone from Insider team to provide me the report from the panel
CRM-1470950,2022,1,2022-01-01,2022-03-28,9,5,Once a Week,5,5,I am able to report everything easily
CRM-1470950,2022,3,2022-07-01,2022-08-05,8,4,Once a Week,4,4,I tried but could not find everything I need
CRM-1526100,2022,2,2022-04-01,2022-06-06,10,5,Once a Month,5,5,I need someone from Insider team to provide me the report from the panel
CRM-1526100,2022,3,2022-07-01,2022-09-30,9,4,Once a Week,4,4,I am able to report everything easily
CRM-1526100,2022,3,2022-07-01,2022-09-27,10,5,Once a Day,5,3,"I can pull all the numbers, but don't understand them"
CRM-1526100,2022,2,2022-04-01,2022-06-06,7,4,Once a Month,4,3,"I can pull all the numbers, but don't understand them"
CRM-1506400,2022,3,2022-07-01,2022-09-27,9,5,Once a Week,5,3,"I can pull all the numbers, but don't understand them"
CRM-1506400,2022,3,2022-07-01,2022-09-27,10,5,Once a Week,4,3,I tried but could not find everything I need
CRM-1430550,2022,3,2022-07-01,2022-08-04,6,4,Once a Month,3,3,I need someone from Insider team to provide me the report from the panel
CRM-1430550,2022,3,2022-07-01,2022-09-20,10,5,Once a Week,5,5,"I can pull all the numbers, but don't understand them"
CRM-1430550,2022,1,2022-01-01,2022-03-01,8,4,Once a Day,4,4,"I can pull all the numbers, but don't understand them"
CRM-1430550,2022,1,2022-01-01,2022-03-21,8,4,Once a Day,4,4,"I can pull all the numbers, but don't understand them"
CRM-1430550,2022,1,2022-01-01,2022-03-01,9,4,Once a Week,5,4,I don't use it often
CRM-1430550,2022,1,2022-01-01,2022-03-21,9,4,Once a Week,5,4,I don't use it often
CRM-1430550,2022,2,2022-04-01,2022-05-17,8,5,Once a Day,5,4,I am able to report everything easily
CRM-1430550,2022,3,2022-07-01,2022-08-04,9,5,Once a Week,5,4,I don't use it often
CRM-154400,2022,1,2022-01-01,2022-03-30,9,5,Once a Day,5,5,I am able to report everything easily
CRM-154400,2022,1,2022-01-01,2022-03-30,9,5,Once a Day,5,5,I am able to report everything easily
CRM-154400,2022,2,2022-04-01,2022-05-06,9,5,Once a Day,5,5,I am able to report everything easily
CRM-154400,2022,3,2022-07-01,2022-09-06,4,4,Once a Day,4,4,I am able to report everything easily
CRM-1490400,2022,1,2022-01-01,2022-03-01,8,4,Once a Day,4,3,"I can pull all the numbers, but don't understand them"
CRM-1490400,2022,1,2022-01-01,2022-03-01,7,4,Once a Week,3,2,"I can pull all the numbers, but don't understand them"
CRM-1468500,2022,2,2022-04-01,2022-05-31,8,4,Once a Week,4,4,I need someone from Insider team to provide me the report from the panel
CRM-1468500,2022,3,2022-07-01,2022-09-27,8,4,Once a Week,4,3,I need someone from Insider team to provide me the report from the panel
CRM-1468500,2022,2,2022-04-01,2022-06-16,7,4,Once a Week,4,4,I need someone from Insider team to provide me the report from the panel
CRM-1468500,2022,3,2022-07-01,2022-08-14,8,4,Once a Week,4,4,I need someone from Insider team to provide me the report from the panel
CRM-1455050,2022,1,2022-01-01,2022-02-01,9,4,Once a Month,4,4,I need someone from Insider team to provide me the report from the panel
CRM-1455050,2022,1,2022-01-01,2022-03-21,9,4,Once a Month,4,4,I need someone from Insider team to provide me the report from the panel
CRM-1455050,2022,2,2022-04-01,2022-06-21,9,4,Once a Week,4,4,"I can pull all the numbers, but don't understand them"
CRM-1455050,2022,2,2022-04-01,2022-05-02,8,4,Once a Week,4,4,I tried but could not find everything I need
CRM-1455050,2022,3,2022-07-01,2022-09-28,8,4,Once a Week,4,4,I don't use it often
CRM-1455050,2022,3,2022-07-01,2022-09-28,8,4,Once a Week,4,3,I don't use it often
CRM-1487050,2022,3,2022-07-01,2022-09-25,8,3,Once a Month,3,3,"I can pull all the numbers, but don't understand them"
CRM-912150,2022,3,2022-07-01,2022-07-01,7,4,Once a Day,3,3,I tried but could not find everything I need
CRM-1130700,2022,3,2022-07-01,2022-09-26,10,5,Once a Week,5,5,I am able to report everything easily
CRM-1172550,2022,2,2022-04-01,2022-06-23,8,4,Once a Week,4,4,I don't use it often
CRM-1172550,2022,2,2022-04-01,2022-06-29,9,4,Once a Week,5,4,I am able to report everything easily
CRM-1172550,2022,2,2022-04-01,2022-06-27,10,5,Once a Week,4,5,"I can pull all the numbers, but don't understand them"
CRM-1364800,2022,2,2022-04-01,2022-06-29,10,5,Once a Day,5,5,I am able to report everything easily
CRM-1434900,2022,1,2022-01-01,2022-03-21,7,3,Once a Week,4,4,I tried but could not find everything I need
CRM-1434900,2022,1,2022-01-01,2022-03-31,8,5,Once a Week,4,4,I am able to report everything easily
CRM-1434900,2022,1,2022-01-01,2022-03-21,7,4,Once a Week,4,3,I don't use it often
CRM-1435400,2022,3,2022-07-01,2022-09-28,9,5,Once a Day,5,4,I am able to report everything easily
CRM-355050,2022,2,2022-04-01,2022-04-12,5,4,Once a Day,4,4,"I can pull all the numbers, but don't understand them"
CRM-355050,2022,3,2022-07-01,2022-09-20,7,3,Once a Day,3,4,I tried but could not find everything I need
CRM-1451500,2022,1,2022-01-01,2022-03-21,9,4,Once a Week,5,4,I am able to report everything easily
CRM-1097250,2022,2,2022-04-01,2022-06-15,7,5,Once a Week,4,3,I am able to report everything easily
CRM-1097250,2022,3,2022-07-01,2022-09-30,8,4,Once a Day,3,2,I need someone from Insider team to provide me the report from the panel
CRM-156400,2022,2,2022-04-01,2022-05-20,9,5,Once a Day,5,4,I need someone from Insider team to provide me the report from the panel
CRM-165900,2022,1,2022-01-01,2022-02-01,10,3,Once a Day,5,4,I need someone from Insider team to provide me the report from the panel
CRM-165900,2022,1,2022-01-01,2022-03-28,10,5,Once a Week,5,4,I need someone from Insider team to provide me the report from the panel
CRM-165900,2022,2,2022-04-01,2022-05-20,10,4,Once a Week,5,4,I don't use it often
CRM-165900,2022,3,2022-07-01,2022-09-19,10,5,Once a Day,5,5,I don't use it often
CRM-1489100,2022,2,2022-04-01,2022-06-29,10,5,Once a Day,4,5,I am able to report everything easily
CRM-1489100,2022,3,2022-07-01,2022-08-30,9,4,Once a Week,4,4,"I can pull all the numbers, but don't understand them"
CRM-1489100,2022,1,2022-01-01,2022-03-21,8,5,Once a Day,5,4,I am able to report everything easily
CRM-1489100,2022,2,2022-04-01,2022-06-28,7,4,Once a Week,4,3,I am able to report everything easily
CRM-1489100,2022,3,2022-07-01,2022-08-30,8,4,Once a Month,4,4,I need someone from Insider team to provide me the report from the panel
CRM-1520400,2022,3,2022-07-01,2022-09-08,8,4,Once a Month,4,4,I tried but could not find everything I need
CRM-1520400,2022,3,2022-07-01,2022-09-20,10,5,Once a Week,5,4,I am able to report everything easily
CRM-1520400,2022,3,2022-07-01,2022-09-08,6,4,Once a Week,3,3,I tried but could not find everything I need
CRM-1520700,2022,3,2022-07-01,2022-08-05,7,4,Once a Day,3,4,I am able to report everything easily
CRM-1520700,2022,3,2022-07-01,2022-09-09,6,3,Once a Day,3,4,I am able to report everything easily
CRM-150500,2022,1,2022-01-01,2022-02-01,7,3,Once a Day,3,2,I tried but could not find everything I need
CRM-150500,2022,2,2022-04-01,2022-06-28,7,3,Once a Day,3,2,I tried but could not find everything I need
CRM-150500,2022,3,2022-07-01,2022-08-05,7,3,Once a Day,3,2,I need someone from Insider team to provide me the report from the panel
CRM-150500,2022,1,2022-01-01,2022-02-01,8,3,Once a Day,4,2,I don't use it often
CRM-150500,2022,2,2022-04-01,2022-04-18,5,3,Once a Day,3,2,I don't use it often
CRM-150500,2022,3,2022-07-01,2022-08-23,8,3,Once a Day,3,2,I need someone from Insider team to provide me the report from the panel
CRM-835900,2022,3,2022-07-01,2022-09-26,10,5,Once a Day,4,4,I don't use it often
CRM-835900,2022,2,2022-04-01,2022-06-20,7,4,Once a Day,4,2,I don't use it often
CRM-835900,2022,3,2022-07-01,2022-08-23,7,4,Once a Day,4,2,I need someone from Insider team to provide me the report from the panel
CRM-152900,2022,2,2022-04-01,2022-06-09,7,3,Once a Month,3,3,I don't use it often
CRM-152900,2022,2,2022-04-01,2022-04-05,6,3,Once a Day,3,4,I am able to report everything easily
CRM-152900,2022,3,2022-07-01,2022-08-25,8,4,Once a Day,4,4,I am able to report everything easily
CRM-152900,2022,2,2022-04-01,2022-04-25,10,5,Once a Week,5,5,I don't use it often
CRM-152900,2022,3,2022-07-01,2022-09-06,8,5,Once a Week,5,5,I don't use it often
CRM-1490450,2022,3,2022-07-01,2022-07-05,6,4,Once a Week,3,2,I tried but could not find everything I need
CRM-1490450,2022,2,2022-04-01,2022-06-20,9,4,Once a Week,4,3,I tried but could not find everything I need
CRM-1490450,2022,3,2022-07-01,2022-09-05,9,4,Once a Week,4,4,I need someone from Insider team to provide me the report from the panel
CRM-1492900,2022,1,2022-01-01,2022-03-30,10,5,Once a Month,5,4,I need someone from Insider team to provide me the report from the panel
CRM-1492900,2022,2,2022-04-01,2022-06-17,9,4,Once a Day,4,3,"I can pull all the numbers, but don't understand them"
CRM-1436600,2022,2,2022-04-01,2022-06-10,8,5,Once a Week,5,5,I need someone from Insider team to provide me the report from the panel
CRM-1436600,2022,3,2022-07-01,2022-09-02,9,5,Once a Week,5,5,I need someone from Insider team to provide me the report from the panel
CRM-183300,2022,3,2022-07-01,2022-09-19,5,3,Once a Week,3,4,I need someone from Insider team to provide me the report from the panel
CRM-183300,2022,2,2022-04-01,2022-05-21,8,4,Once a Day,4,4,I need someone from Insider team to provide me the report from the panel
CRM-1478900,2022,3,2022-07-01,2022-09-30,8,4,Once a Day,3,4,"I can pull all the numbers, but don't understand them"
CRM-1478900,2022,1,2022-01-01,2022-02-01,9,5,Once a Day,5,5,I don't use it often
CRM-1499500,2022,3,2022-07-01,2022-09-05,9,5,Once a Day,5,5,I am able to report everything easily
CRM-1497450,2022,3,2022-07-01,2022-09-26,10,5,Once a Week,5,5,I need someone from Insider team to provide me the report from the panel
CRM-335250,2022,1,2022-01-01,2022-02-01,10,5,Once a Week,5,4,I am able to report everything easily
CRM-335250,2022,1,2022-01-01,2022-03-21,10,5,Once a Week,5,4,I am able to report everything easily
CRM-463500,2022,2,2022-04-01,2022-05-26,10,4,Once a Week,5,4,I am able to report everything easily
CRM-690000,2022,1,2022-01-01,2022-02-01,8,3,Once a Month,4,2,I am able to report everything easily
CRM-690000,2022,2,2022-04-01,2022-06-17,9,5,Once a Month,4,3,I am able to report everything easily
CRM-690000,2022,3,2022-07-01,2022-09-06,8,4,Once a Month,4,3,I am able to report everything easily
CRM-1489700,2022,1,2022-01-01,2022-03-21,9,4,Once a Day,4,3,I need someone from Insider team to provide me the report from the panel
CRM-1456200,2022,1,2022-01-01,2022-03-01,6,3,Once a Month,3,,I don't use it often
CRM-1456200,2022,1,2022-01-01,2022-03-21,6,3,Once a Month,3,,I don't use it often
CRM-1456200,2022,2,2022-04-01,2022-06-22,6,4,Once a Day,4,4,I don't use it often
CRM-1456200,2022,3,2022-07-01,2022-08-05,8,4,Once a Day,4,4,I am able to report everything easily
CRM-1485400,2022,2,2022-04-01,2022-04-25,9,4,Once a Month,4,4,I tried but could not find everything I need
CRM-159850,2022,2,2022-04-01,2022-05-31,7,4,Once a Day,4,3,"I can pull all the numbers, but don't understand them"
CRM-159850,2022,3,2022-07-01,2022-09-16,10,5,Once a Day,5,5,I need someone from Insider team to provide me the report from the panel
