Customer ID,Total Revenue
CRM-1470950,"$732,199"
CRM-1526100,$0
CRM-1506400,"$375,135"
CRM-1430550,$0
CRM-1485600,"$116,732"
CRM-1548450,"$3,128,751"
CRM-154400,"$27,649"
CRM-1521000,$0
CRM-1513350,$0
CRM-1490400,"$52,666"
CRM-1514100,$0
CRM-1468500,$78
CRM-1530300,"$24,865"
CRM-1435400,$0
CRM-355050,"$87,728"
CRM-1451500,"$690,753"
CRM-165900,"$92,663"
CRM-1520400,"$215,598"
CRM-1517150,"$65,280"
CRM-150500,"$175,293,442"
CRM-835900,"$56,907"
CRM-152900,"$168,057"
CRM-1492900,$0
CRM-1523550,$0
CRM-1467350,$0
CRM-1497450,"$120,467"
CRM-1464800,"$2,227,584"
CRM-1500850,"$1,318"
CRM-690000,"$13,982"
CRM-1489700,"$2,616"
CRM-1456200,"$164,049"
CRM-1485400,$0
CRM-1491900,$0
CRM-159150,"$197,893"
CRM-1516200,$29
CRM-1573650,"$19,355"
CRM-1489400,"$531,270"
CRM-1501100,"$27,956,189"
CRM-1559050,"$1,812,341"
CRM-1481050,"$32,310"
CRM-845700,"$17,927"
CRM-1559300,$0
CRM-1481750,"$4,313,793"
CRM-706750,$0
CRM-783250,"$2,164,667"
CRM-372100,"$5,657,043"
CRM-1515900,$0
CRM-1493700,$0
CRM-1494100,$0
CRM-160250,"$877,367"
CRM-1454050,"$164,054"
CRM-927800,$0
CRM-552650,"$517,966"
CRM-552600,$0
CRM-1496400,$0
CRM-387200,"$145,661"
CRM-796350,$0
CRM-1437150,"$37,114"
CRM-268900,"$16,833,191"
CRM-908950,"$95,813"
CRM-1515050,"$13,581"
CRM-166100,"$3,117,714"
CRM-505000,"$1,069,502"
CRM-166050,"$35,053"
CRM-1497650,"$222,132"
CRM-1019500,"$11,020,483"
CRM-378850,$0
CRM-1503950,"$570,660"
CRM-1079000,"$4,298,771"
CRM-1453650,$0
CRM-329450,"$262,587"
CRM-703450,$0
CRM-703500,$0
CRM-703400,$0
CRM-1501200,$0
CRM-1516450,"$39,037"
CRM-828400,$0
CRM-1234250,"$24,529"
CRM-565500,$0
CRM-1103750,"$672,675"
CRM-927700,"$56,673"
CRM-160200,"$441,021"
CRM-1444600,"$59,025"
CRM-230500,"$32,546"
CRM-236800,"$3,229,801"
CRM-224800,"$29,361"
CRM-1531900,"$10,136"
CRM-1479450,"$58,609"
CRM-1529500,"$65,694"
CRM-346400,$0
CRM-701050,"$2,037"
CRM-1149100,"$317,121"
CRM-440800,$0
CRM-1517050,"$209,828"
CRM-578400,"$786,337"
CRM-155350,"$358,561"
CRM-1600300,$11
CRM-1449100,$0
CRM-1588050,"$15,975"
CRM-155850,"$9,050"
CRM-547550,"$95,929"
CRM-349050,"$67,667"
CRM-1479200,$95
CRM-1290050,"$27,700"
CRM-558200,"$739,485,245"
CRM-1476450,$0
CRM-1476150,$974
CRM-672900,$0
CRM-158850,"$797,309"
CRM-986100,"$138,302"
