Customer ID,Region,Vertical,Subvertical
CRM-1471650,Malaysia,Media and Publishing,Content Websites
CRM-1516050,Taiwan,Retail,Fashion Retailer
CRM-1087300,Australia,Transportation and Logistics,Transportation and Logistics
CRM-1467150,Taiwan,Retail,Marketplace
CRM-230550,Turkey,Retail,Fashion Retailer
CRM-1470950,Thailand,Retail,Marketplace
CRM-1526100,Vietnam,Other,Other
CRM-1506400,Brazil,Other,Other
CRM-1507900,Vietnam,Other,Other
CRM-1430550,MENA,Media and Publishing,Content Websites
CRM-484050,Japan,Retail,Jewelry and Accessories
CRM-1485600,CEE,Retail,Sports
CRM-1479150,CEE,Retail,Sports
CRM-1485450,CEE,Retail,Sports
CRM-1485500,CEE,Retail,Sports
CRM-1485550,CEE,Retail,Sports
CRM-1548450,Australia,Retail,Gardening
CRM-154400,CEE,Retail,Kids Fashion
CRM-1521000,Taiwan,Transportation and Logistics,Transportation and Logistics
CRM-1513350,Taiwan,Transportation and Logistics,Transportation and Logistics
CRM-429950,MENA,Retail,Fashion Retailer
CRM-343100,Japan,Automotive,Automotive
CRM-445700,Taiwan,Retail,Cosmetics
CRM-1497700,Malaysia,Media and Publishing,Content Websites
CRM-1459650,Taiwan,Restaurants and Delivery,Restaurants and Delivery
CRM-309850,Singapore,Real Estate,Real Estate
CRM-1490400,Taiwan,Retail,Marketplace
CRM-1514100,Taiwan,Retail,Office Products
CRM-647000,Turkey,Retail,Supermarket Chains
CRM-1468500,MENA,Healthcare,Pharmaceuticals
CRM-1530300,Japan,Retail,Home and Furniture
CRM-1455050,Philippines,Real Estate,Real Estate
CRM-1570450,Hong Kong,Restaurants and Delivery,Restaurants and Delivery
CRM-1487050,Australia,Career and Education,Education and Universities
CRM-1482350,Vietnam,Finance,Banking
CRM-1434900,Australia,Retail,Sports
CRM-5452900,Turkey,Travel,Online Travel Agency (OTA)
CRM-1500950,Malaysia,Retail,Fashion Retailer
CRM-1435400,MENA,Retail,Home and Furniture
CRM-1554450,Brazil,Retail,Consumer Electronics
CRM-552050,Russia,Retail,Kids Fashion
CRM-542600,Taiwan,Retail,Consumer Electronics
CRM-289800,Vietnam,Retail,Marketplace
CRM-355050,Turkey,Retail,Fashion Retailer
CRM-262900,MENA,Travel,Hotels and Accommodation
CRM-157900,Turkey,Retail,Sports
CRM-1451500,Hong Kong,Retail,Sports
CRM-1448100,Korea,Retail,Sports
CRM-1399350,MENA,Retail,Fashion Retailer
CRM-826800,Thailand,Retail,Sports
