Customer ID,Status,Customer Level
CRM-1471650,Onboarding,Enterprise
CRM-1516050,Onboarding,Long-tail
CRM-1087300,Churn,Semi-Enterprise
CRM-1467150,Churn,Semi-Enterprise
CRM-230550,Churn,Long-tail
CRM-1470950,Retained,Enterprise
CRM-1526100,Retained,Semi-Enterprise
CRM-1506400,Retained,Enterprise
CRM-1507900,Churn,Long-tail
CRM-1430550,Retained,Semi-Enterprise
CRM-484050,Churn,Long-tail
CRM-1485600,Retained,Enterprise
CRM-1479150,Churn,Enterprise
CRM-1485450,Churn,Enterprise
CRM-1485500,Churn,Enterprise
CRM-1485550,Churn,Enterprise
CRM-1548450,Retained,Enterprise
CRM-154400,Retained,Enterprise
CRM-1521000,Retained,Long-tail
CRM-1513350,Retained,Enterprise
CRM-429950,Churn,Enterprise
CRM-343100,Churn,Long-tail
CRM-445700,Churn,Long-tail
CRM-1497700,Onboarding,Enterprise
CRM-1459650,Churn,Long-tail
CRM-309850,Churn,Enterprise
CRM-1490400,Retained,Semi-Enterprise
CRM-1514100,Retained,Semi-Enterprise
CRM-647000,Churn,Enterprise
CRM-1468500,Retained,Long-tail
CRM-1530300,Retained,Long-tail
CRM-1455050,Churn,Semi-Enterprise
CRM-1570450,Onboarding,Semi-Enterprise
CRM-1487050,Retained,Semi-Enterprise
CRM-1482350,Retained,Enterprise
CRM-1434900,Retained,Long-tail
CRM-5452900,Churn,Long-tail
CRM-1500950,Retained,Semi-Enterprise
CRM-1435400,Retained,Long-tail
CRM-1554450,Onboarding,Enterprise
CRM-552050,Churn,Long-tail
CRM-542600,Churn,Long-tail
CRM-289800,Churn,Enterprise
CRM-355050,Retained,Enterprise
CRM-262900,Churn,Long-tail
CRM-157900,Churn,Long-tail
CRM-1451500,Retained,Enterprise
CRM-1448100,Contract Confirmation,Enterprise
CRM-1399350,Churn,Long-tail
CRM-826800,Churn,Enterprise
CRM-759650,Churn,Semi-Enterprise
CRM-1097250,Churn,Enterprise
CRM-1454500,Churn,Long-tail
CRM-165900,Retained,Enterprise
CRM-1489200,Retained,Enterprise
CRM-1489100,Retained,Enterprise
CRM-1589350,Retained,Semi-Enterprise
#N/A,Retained,Enterprise
CRM-1396700,Churn,Semi-Enterprise
CRM-957200,Churn,Enterprise
CRM-527200,Churn,Enterprise
CRM-332600,Churn,Long-tail
CRM-383850,Churn,Enterprise
CRM-1520400,Retained,Enterprise
CRM-1517150,Retained,Long-tail
CRM-205000,Churn,Long-tail
CRM-1520650,Retained,Enterprise
CRM-1464300,Churn,Long-tail
CRM-1578950,Contract Confirmation,Long-tail
CRM-1253400,Churn,Long-tail
CRM-150500,Retained,Enterprise
CRM-835900,Retained,Enterprise
CRM-152900,Retained,Enterprise
CRM-1551100,Onboarding,Enterprise
CRM-1554650,Onboarding,Enterprise
CRM-1575550,Onboarding,Semi-Enterprise
CRM-1492900,Retained,Enterprise
CRM-1523550,Retained,Enterprise
CRM-1161800,Churn,Enterprise
CRM-5612650,Onboarding,Enterprise
CRM-1467350,Retained,Long-tail
CRM-183300,Retained,Semi-Enterprise
CRM-1478900,Retained,Long-tail
CRM-176700,Churn,Semi-Enterprise
CRM-1160350,Churn,Enterprise
CRM-350250,Churn,Long-tail
CRM-1497450,Retained,Semi-Enterprise
CRM-158950,Churn,Long-tail
CRM-335250,Churn,Enterprise
CRM-1464800,Retained,Enterprise
CRM-1500850,Retained,Enterprise
CRM-1458050,Churn,Semi-Enterprise
CRM-690000,Retained,Long-tail
CRM-1489700,Retained,Semi-Enterprise
CRM-1456200,Retained,Enterprise
CRM-1485400,Retained,Long-tail
CRM-703550,Churn,Semi-Enterprise
CRM-534000,Churn,Long-tail
CRM-154450,Churn,Enterprise
CRM-1481250,Churn,Enterprise
CRM-159850,Retained,Semi-Enterprise
CRM-1570500,Retained,Semi-Enterprise
CRM-175100,Churn,Long-tail
CRM-1491900,Retained,Semi-Enterprise
CRM-387950,Churn,Long-tail
CRM-159150,Retained,Enterprise
CRM-1455350,Churn,Long-tail
CRM-1489250,Retained,Semi-Enterprise
CRM-1516200,Retained,Semi-Enterprise
CRM-1445650,Retained,Enterprise
CRM-1573650,Retained,Enterprise
CRM-1589700,Retained,Enterprise
CRM-1528550,Onboarding,Enterprise
CRM-706700,Churn,Semi-Enterprise
CRM-1489400,Retained,Semi-Enterprise
CRM-1501100,Retained,Enterprise
CRM-1559050,Retained,Enterprise
CRM-1545050,Onboarding,Semi-Enterprise
CRM-1497250,Churn,Enterprise
CRM-1528350,Onboarding,Enterprise
CRM-1534600,Incomplete Deal,Semi-Enterprise
CRM-1481050,Retained,Semi-Enterprise
CRM-1481600,Onboarding,Semi-Enterprise
CRM-845700,Retained,Long-tail
CRM-1510450,Churn,Enterprise
CRM-1559300,Retained,Semi-Enterprise
CRM-570900,Churn,Semi-Enterprise
CRM-1469000,Churn,Semi-Enterprise
CRM-476900,Retained,Enterprise
CRM-1481750,Retained,Long-tail
CRM-168600,Churn,Long-tail
CRM-309400,Churn,Long-tail
CRM-152150,Churn,Enterprise
CRM-175150,Churn,Long-tail
CRM-175250,Churn,Long-tail
CRM-175200,Churn,Long-tail
CRM-706750,Retained,Long-tail
CRM-1511700,Churn,Long-tail
CRM-1442100,Retained,Semi-Enterprise
CRM-1607850,Retained,Semi-Enterprise
CRM-1605500,Onboarding,Long-tail
CRM-1575050,Onboarding,Long-tail
CRM-783250,Retained,Enterprise
CRM-1328050,Churn,Semi-Enterprise
CRM-1450800,Churn,Semi-Enterprise
CRM-372100,Retained,Enterprise
CRM-1515900,Retained,Long-tail
CRM-1493700,Retained,Semi-Enterprise
CRM-1494100,Retained,Long-tail
CRM-160250,Retained,Enterprise
CRM-259600,Churn,Long-tail
CRM-1454050,Retained,Enterprise
CRM-1460950,Churn,Long-tail
CRM-157650,Churn,Long-tail
CRM-1460000,Churn,Semi-Enterprise
CRM-1487700,Retained,Enterprise
CRM-397600,Churn,Long-tail
CRM-401300,Churn,Long-tail
CRM-927800,Retained,Enterprise
CRM-552650,Retained,Long-tail
CRM-609850,Churn,Enterprise
CRM-1567800,Onboarding,Semi-Enterprise
CRM-1538850,Onboarding,Enterprise
CRM-385900,Churn,Long-tail
CRM-552600,Retained,Semi-Enterprise
CRM-161850,Churn,Long-tail
CRM-1496400,Retained,Enterprise
CRM-387200,Retained,Enterprise
CRM-1441150,Churn,Long-tail
CRM-1577150,Onboarding,Long-tail
CRM-165050,Churn,Long-tail
CRM-1459850,Churn,Semi-Enterprise
CRM-1560950,Onboarding,Enterprise
CRM-1497750,Onboarding,Enterprise
CRM-796350,Retained,Long-tail
CRM-1507050,Churn,Long-tail
CRM-1507100,Churn,Long-tail
CRM-1507150,Churn,Long-tail
CRM-1056600,Churn,Enterprise
CRM-1437150,Retained,Long-tail
CRM-1502300,Retained,Enterprise
CRM-268900,Retained,Enterprise
CRM-175300,Churn,Long-tail
CRM-1600450,Onboarding,Enterprise
CRM-1077950,Churn,Long-tail
CRM-1077850,Churn,Long-tail
CRM-908950,Retained,Enterprise
CRM-1078000,Churn,Semi-Enterprise
CRM-1515050,Retained,Semi-Enterprise
CRM-1031550,Churn,Long-tail
CRM-175350,Churn,Long-tail
CRM-166100,Retained,Enterprise
CRM-1250100,Churn,Semi-Enterprise
CRM-320250,Churn,Long-tail
CRM-505000,Retained,Semi-Enterprise
CRM-320200,Churn,Long-tail
CRM-1272750,Churn,Long-tail
CRM-753900,Churn,Enterprise
CRM-150550,Churn,Long-tail
CRM-1475550,Retained,Semi-Enterprise
CRM-277800,Retained,Semi-Enterprise
CRM-166050,Retained,Semi-Enterprise
CRM-1436600,Retained,Semi-Enterprise
CRM-1497650,Retained,Enterprise
CRM-1481550,Churn,Long-tail
CRM-162250,Churn,Long-tail
CRM-1063550,Churn,Long-tail
CRM-1487650,Churn,Long-tail
CRM-1430050,Churn,Semi-Enterprise
CRM-793200,Churn,Enterprise
CRM-1466100,Incomplete Deal,Semi-Enterprise
CRM-5604300,Onboarding,Enterprise
CRM-334000,Churn,Long-tail
CRM-1019500,Retained,Enterprise
CRM-378850,Retained,Semi-Enterprise
CRM-1503950,Retained,Semi-Enterprise
CRM-1079000,Retained,Enterprise
CRM-1453650,Retained,Semi-Enterprise
CRM-1468100,Churn,Semi-Enterprise
CRM-317600,Churn,Long-tail
CRM-1598950,Onboarding,Semi-Enterprise
CRM-1201450,Churn,Long-tail
CRM-329450,Retained,Enterprise
CRM-703450,Retained,Enterprise
CRM-703500,Retained,Enterprise
CRM-703400,Retained,Enterprise
CRM-1501200,Retained,Long-tail
CRM-550150,Churn,Long-tail
CRM-1324000,Churn,Long-tail
CRM-370200,Onboarding,Semi-Enterprise
CRM-847750,Churn,Long-tail
CRM-1516450,Retained,Semi-Enterprise
CRM-180400,Churn,Long-tail
CRM-828400,Retained,Enterprise
CRM-1281200,Churn,Long-tail
CRM-1492050,Retained,Long-tail
CRM-1468800,Retained,Long-tail
CRM-1234250,Retained,Enterprise
CRM-152400,Churn,Long-tail
CRM-565500,Retained,Enterprise
CRM-1103750,Retained,Enterprise
CRM-1511150,Incomplete Deal,Semi-Enterprise
CRM-5604250,Onboarding,Semi-Enterprise
CRM-1056650,Churn,Enterprise
CRM-732750,Retained,Enterprise
CRM-1498300,Churn,Semi-Enterprise
CRM-1474750,Churn,Long-tail
CRM-927750,Churn,Semi-Enterprise
CRM-1043250,Churn,Enterprise
CRM-1565050,Onboarding,Long-tail
CRM-927700,Retained,Enterprise
CRM-1485950,Churn,Long-tail
CRM-1573900,Onboarding,Enterprise
CRM-1446950,Churn,Long-tail
CRM-160200,Retained,Enterprise
CRM-5600750,Onboarding,Enterprise
CRM-583300,Churn,Long-tail
CRM-276350,Incomplete Deal,Long-tail
CRM-1444600,Retained,Semi-Enterprise
CRM-1516850,Churn,Enterprise
CRM-1521100,Churn,Enterprise
CRM-230500,Retained,Semi-Enterprise
CRM-1088650,Churn,Semi-Enterprise
CRM-236800,Retained,Enterprise
CRM-547850,Churn,Long-tail
CRM-163250,Churn,Semi-Enterprise
CRM-674700,Churn,Long-tail
CRM-224800,Retained,Long-tail
CRM-247350,Churn,Long-tail
CRM-1471500,Churn,Semi-Enterprise
CRM-1531900,Retained,Long-tail
CRM-158900,Churn,Long-tail
CRM-1479450,Retained,Long-tail
CRM-1484900,Churn,Long-tail
CRM-1529500,Retained,Enterprise
CRM-1280200,Churn,Semi-Enterprise
CRM-346400,Retained,Long-tail
CRM-224850,Churn,Long-tail
CRM-273900,Churn,Long-tail
CRM-701050,Retained,Long-tail
CRM-156550,Churn,Long-tail
CRM-547900,Churn,Long-tail
CRM-312300,Churn,Long-tail
CRM-1149100,Retained,Enterprise
CRM-312250,Churn,Long-tail
CRM-440800,Retained,Long-tail
CRM-498000,Churn,Long-tail
CRM-531400,Churn,Long-tail
CRM-1539250,Churn,Enterprise
CRM-1509600,Churn,Long-tail
CRM-165100,Churn,Long-tail
CRM-199700,Churn,Enterprise
CRM-1493400,Retained,Long-tail
CRM-1560800,Onboarding,Enterprise
CRM-834200,Churn,Long-tail
CRM-1261350,Churn,Long-tail
CRM-1568050,Onboarding,Semi-Enterprise
CRM-166650,Churn,Long-tail
CRM-1517050,Retained,Semi-Enterprise
CRM-234900,Churn,Long-tail
CRM-1541700,Onboarding,Enterprise
CRM-1539300,Onboarding,Enterprise
CRM-1539350,Onboarding,Enterprise
CRM-1486250,Churn,Semi-Enterprise
CRM-1177150,Churn,Long-tail
CRM-578400,Retained,Enterprise
CRM-1552200,Onboarding,Enterprise
CRM-1326000,Churn,Long-tail
CRM-156350,Churn,Long-tail
CRM-155350,Retained,Enterprise
CRM-1600300,Retained,Enterprise
CRM-1449100,Retained,Semi-Enterprise
CRM-1588050,Retained,Semi-Enterprise
CRM-427350,Churn,Long-tail
CRM-467600,Churn,Long-tail
CRM-507000,Churn,Long-tail
CRM-155850,Retained,Semi-Enterprise
CRM-547550,Retained,Enterprise
CRM-513750,Churn,Enterprise
CRM-1552950,Onboarding,Enterprise
CRM-349050,Retained,Enterprise
CRM-1479200,Retained,Long-tail
CRM-1465300,Churn,Long-tail
CRM-1233700,Churn,Semi-Enterprise
CRM-1290050,Retained,Enterprise
CRM-237150,Onboarding,Enterprise
CRM-635850,Churn,Long-tail
CRM-1478100,Retained,Long-tail
CRM-1521050,Churn,Enterprise
CRM-174350,Churn,Long-tail
CRM-1606400,Onboarding,Semi-Enterprise
CRM-1456350,Churn,Semi-Enterprise
CRM-558200,Retained,Enterprise
CRM-1467050,Churn,Long-tail
CRM-1456050,Incomplete Deal,Enterprise
CRM-1476450,Retained,Long-tail
CRM-1476150,Retained,Semi-Enterprise
CRM-672900,Retained,Long-tail
CRM-1585500,Retained,Semi-Enterprise
CRM-739750,Churn,Long-tail
CRM-158850,Retained,Enterprise
CRM-1467900,Churn,Enterprise
CRM-1584400,Onboarding,Enterprise
CRM-1506750,Churn,Long-tail
CRM-245150,Churn,Long-tail
CRM-1456500,Churn,Semi-Enterprise
CRM-150950,Churn,Semi-Enterprise
CRM-986100,Retained,Enterprise
CRM-1502900,Retained,Enterprise
CRM-1441450,Churn,Enterprise
CRM-1495550,Churn,Enterprise
CRM-561350,Churn,Long-tail
CRM-152700,Churn,Long-tail
CRM-153000,Churn,Long-tail
CRM-1514550,Retained,Enterprise
